replication,n_synthetic,synthetic_source,mechanism,target_missing_rate,observed_missing_rate,method,n_imputed_datasets,runtime_seconds,ari_true_gmm_vs_benchmark,ari_vs_full_data_kmeans,centroid_error_mean,centroid_error_max,cluster_size_error_mean_abs,silhouette
7,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MAR,0.3,0.299325,random_forest,1,6.554209321737289,0.948682665021949,0.974495766532639,0.023395903107638078,0.03200561073137496,0.0020000000000000018,0.5706011133907025
7,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MAR,0.5,0.49905,random_forest,1,9.89793772995472,0.948682665021949,0.9158900333932213,0.10083708443496697,0.1269509011699861,0.002400000000000002,0.5649848664737321
7,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.1,0.1009,random_forest,1,5.049143678043038,0.948682665021949,0.9866011955508349,0.021710111144823636,0.04837130476248897,0.0016000000000000014,0.572620219420954
7,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.3,0.29955,random_forest,1,8.708035874180496,0.948682665021949,0.9663502564513311,0.04375741520449392,0.07111884602100046,0.0038000000000000035,0.577777222701253
7,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.5,0.4978,random_forest,1,11.895192593336105,0.948682665021949,0.7144363635397334,0.1346399283132574,0.28472216393681204,0.0404,0.5192114347995168
8,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MCAR,0.1,0.100625,random_forest,1,5.218627430032939,0.948682665021949,0.9939679726383143,0.02361339666667599,0.033644707338139936,0.0006000000000000005,0.5727134406944073
8,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MCAR,0.3,0.30305,random_forest,1,11.191125986166298,0.948682665021949,0.97558413383563,0.07433013753493198,0.1367864104222364,0.0014000000000000013,0.5731188240230135
8,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MCAR,0.5,0.50365,random_forest,1,9.857113894075155,0.948682665021949,0.9503224631735665,0.11173628271489237,0.21751088560857623,0.0028000000000000026,0.5896242499079626
8,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MAR,0.1,0.100525,random_forest,1,5.083617692813277,0.948682665021949,0.9927549234929606,0.012317080302417776,0.020533579675906206,0.00020000000000000017,0.569978835351978
8,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MAR,0.3,0.3012,random_forest,1,6.771829371806234,0.948682665021949,0.9778091291010326,0.020103780169319196,0.026174556571029697,0.0016000000000000014,0.5726869498598743
8,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MAR,0.5,0.496925,random_forest,1,11.467960102949291,0.948682665021949,0.8941002931369211,0.0796147790800547,0.09617379900972414,0.008400000000000008,0.5628435459966481
